method,occurrences
"<java.lang.reflect.Array: int getInt(java.lang.Object,int)>",4
"<java.lang.reflect.Field: long getLong(java.lang.Object)>",48
"<java.lang.reflect.Method: java.lang.String toGenericString()>",13
"<java.lang.reflect.Constructor: java.lang.reflect.Type[] getGenericParameterTypes()>",37
"<java.lang.reflect.Constructor: java.lang.annotation.Annotation getAnnotation(java.lang.Class)>",11
"<java.lang.reflect.Method: java.lang.annotation.Annotation[][] getParameterAnnotations()>",32
"<java.lang.reflect.Constructor: java.lang.annotation.Annotation[][] getParameterAnnotations()>",35
"<java.lang.reflect.Constructor: java.lang.String toGenericString()>",13
"<android.net.wifi.WifiInfo: int getIpAddress()>",87
"<java.lang.reflect.Method: java.lang.reflect.Type getGenericReturnType()>",62
"<java.lang.reflect.Field: java.lang.Class getDeclaringClass()>",86
"<java.lang.reflect.Constructor: java.lang.Class[] getParameterTypes()>",42
"<java.lang.reflect.Constructor: int getModifiers()>",40
"<java.lang.reflect.Method: int getModifiers()>",53
"<java.lang.reflect.Method: java.lang.annotation.Annotation getAnnotation(java.lang.Class)>",65
"<java.lang.reflect.Method: java.lang.reflect.Type[] getGenericParameterTypes()>",37
"<java.lang.reflect.Field: java.lang.Class getType()>",139
"<android.telephony.TelephonyManager: android.telephony.CellLocation getCellLocation()>",166
"<java.lang.reflect.Proxy: java.lang.reflect.InvocationHandler getInvocationHandler(java.lang.Object)>",43
"<android.telephony.cdma.CdmaCellLocation: int getBaseStationLatitude()>",75
"<android.telephony.cdma.CdmaCellLocation: int getBaseStationLongitude()>",75
"<java.lang.reflect.Constructor: java.lang.String getName()>",21
"<java.lang.reflect.Method: java.lang.annotation.Annotation[] getDeclaredAnnotations()>",30
"<java.lang.reflect.Constructor: java.lang.Class getDeclaringClass()>",30
"<java.lang.reflect.Method: java.lang.reflect.TypeVariable[] getTypeParameters()>",14
"<java.lang.reflect.Field: java.lang.annotation.Annotation[] getDeclaredAnnotations()>",22
"<java.lang.reflect.Constructor: java.lang.reflect.TypeVariable[] getTypeParameters()>",14
"<java.lang.reflect.Constructor: java.lang.annotation.Annotation[] getDeclaredAnnotations()>",21
"<java.lang.reflect.InvocationTargetException: java.lang.Throwable getCause()>",53
"<android.hardware.Camera: android.hardware.Camera$Parameters getParameters()>",30
"<android.telephony.TelephonyManager: java.lang.String getDeviceSoftwareVersion()>",27
"<android.hardware.Camera$Parameters: java.lang.String get(java.lang.String)>",20
"<android.location.LocationManager: android.location.LocationProvider getProvider(java.lang.String)>",74
"<android.database.sqlite.SQLiteDatabase: java.lang.String getPath()>",50
"<android.net.wifi.WifiInfo: int getRssi()>",96
"<android.telephony.TelephonyManager: java.util.List getNeighboringCellInfo()>",84
"<android.telephony.TelephonyManager: java.lang.String getVoiceMailNumber()>",9
"<java.lang.reflect.AccessibleObject: java.lang.annotation.Annotation[] getAnnotations()>",68
"<android.telephony.TelephonyManager: java.lang.String getVoiceMailAlphaTag()>",4
"<java.lang.reflect.Method: java.lang.reflect.Type[] getGenericExceptionTypes()>",12
"<android.telephony.gsm.SmsManager: android.telephony.gsm.SmsManager getDefault()>",16
"<java.lang.reflect.Proxy: java.lang.Class getProxyClass(java.lang.ClassLoader,java.lang.Class[])>",4
"<java.lang.reflect.Method: java.lang.Class[] getExceptionTypes()>",3
"<android.bluetooth.BluetoothAdapter: java.lang.String getName()>",8
"<java.lang.reflect.Field: char getChar(java.lang.Object)>",2
"<java.lang.reflect.Array: long getLong(java.lang.Object,int)>",2
"<java.lang.reflect.Array: float getFloat(java.lang.Object,int)>",2
"<java.lang.reflect.Array: double getDouble(java.lang.Object,int)>",2
