method,occurrences
"<android.content.ContentResolver: android.database.Cursor query(android.net.Uri,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String)>",232
"<android.accounts.AccountManager: android.accounts.Account[] getAccounts()>",168
"<android.telephony.TelephonyManager: java.lang.String getNetworkOperatorName()>",297
"<android.location.LocationManager: java.lang.String getBestProvider(android.location.Criteria,boolean)>",292
"<android.telephony.TelephonyManager: int getPhoneType()>",311
"<android.database.sqlite.SQLiteDatabase: android.database.Cursor query(java.lang.String,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String,java.lang.String)>",270
"<android.location.Location: double getLongitude()>",200
"<android.net.NetworkInfo: java.lang.String getSubtypeName()>",184
"<android.location.LocationManager: android.location.Location getLastKnownLocation(java.lang.String)>",231
"<android.database.sqlite.SQLiteOpenHelper: android.database.sqlite.SQLiteDatabase getWritableDatabase()>",235
"<android.telephony.TelephonyManager: java.lang.String getSimOperatorName()>",191
"<java.lang.reflect.Field: int getInt(java.lang.Object)>",250
"<android.database.sqlite.SQLiteOpenHelper: android.database.sqlite.SQLiteDatabase getReadableDatabase()>",236
"<android.location.Location: double getLatitude()>",200
"<android.telephony.TelephonyManager: int getSimState()>",284
"<android.database.sqlite.SQLiteQueryBuilder: android.database.Cursor query(android.database.sqlite.SQLiteDatabase,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String,java.lang.String)>",118
"<android.telephony.TelephonyManager: java.lang.String getSubscriberId()>",220
"<android.net.NetworkInfo: int getType()>",103
"<android.telephony.TelephonyManager: java.lang.String getDeviceId()>",210
"<android.telephony.TelephonyManager: java.lang.String getSimOperator()>",144
"<android.telephony.TelephonyManager: java.lang.String getNetworkCountryIso()>",171
"<java.lang.reflect.Array: int getLength(java.lang.Object)>",110
"<android.net.wifi.WifiInfo: java.lang.String getBSSID()>",121
"<java.lang.reflect.Field: int getModifiers()>",103
"<java.lang.reflect.Array: java.lang.Object get(java.lang.Object,int)>",82
"<android.media.AudioManager: int getRingerMode()>",88
"<android.telephony.TelephonyManager: java.lang.String getNetworkOperator()>",237
"<java.lang.reflect.Field: java.lang.annotation.Annotation getAnnotation(java.lang.Class)>",144
"<java.lang.reflect.InvocationTargetException: java.lang.Throwable getTargetException()>",69
"<javax.net.ssl.SSLContext: javax.net.ssl.SSLSocketFactory getSocketFactory()>",93
"<java.lang.reflect.Method: java.lang.String getName()>",161
"<android.media.AudioManager: boolean isMusicActive()>",58
"<android.location.LocationManager: java.util.List getProviders(boolean)>",91
"<java.lang.reflect.Method: java.lang.Class[] getParameterTypes()>",126
"<android.net.ConnectivityManager: android.net.NetworkInfo[] getAllNetworkInfo()>",188
"<javax.net.SocketFactory: java.net.Socket createSocket()>",64
"<android.media.AudioManager: int getMode()>",62
"<java.lang.reflect.Field: java.lang.reflect.Type getGenericType()>",99
"<android.net.NetworkInfo: java.lang.String getTypeName()>",271
"<java.lang.reflect.Array: java.lang.Object newInstance(java.lang.Class,int[])>",73
"<android.net.NetworkInfo: int getSubtype()>",175
"<android.app.ActivityManager: java.util.List getRecentTasks(int,int)>",42
"<java.net.InetSocketAddress: int getPort()>",71
"<java.net.InetSocketAddress: java.net.InetAddress getAddress()>",66
"<android.telephony.TelephonyManager: java.lang.String getLine1Number()>",186
"<java.lang.reflect.Field: java.lang.Object get(java.lang.Object)>",277
"<android.net.ConnectivityManager: android.net.NetworkInfo getNetworkInfo(int)>",153
"<android.database.sqlite.SQLiteDatabase: android.database.Cursor rawQuery(java.lang.String,java.lang.String[])>",140
"<java.lang.reflect.Field: java.lang.String getName()>",148
"<android.net.NetworkInfo: android.net.NetworkInfo$State getState()>",170
"<android.telephony.TelephonyManager: java.lang.String getSimCountryIso()>",88
"<org.apache.http.conn.scheme.PlainSocketFactory: org.apache.http.conn.scheme.PlainSocketFactory getSocketFactory()>",111
"<android.net.NetworkInfo: java.lang.String getExtraInfo()>",143
"<android.telephony.TelephonyManager: java.lang.String getSimSerialNumber()>",150
"<android.telephony.cdma.CdmaCellLocation: int getBaseStationId()>",133
"<android.telephony.gsm.GsmCellLocation: int getCid()>",163
"<android.telephony.gsm.GsmCellLocation: int getLac()>",163
"<android.telephony.cdma.CdmaCellLocation: int getNetworkId()>",133
"<android.telephony.cdma.CdmaCellLocation: int getSystemId()>",83
"<android.database.sqlite.SQLiteDatabase: android.database.Cursor query(java.lang.String,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String,java.lang.String,java.lang.String)>",102
"<android.net.ConnectivityManager: android.net.NetworkInfo getActiveNetworkInfo()>",76
"<android.net.wifi.WifiManager: android.net.wifi.WifiInfo getConnectionInfo()>",213
"<android.net.wifi.WifiInfo: java.lang.String getMacAddress()>",238
"<android.telephony.TelephonyManager: int getNetworkType()>",199
"<android.hardware.display.DisplayManager: android.view.Display[] getDisplays(java.lang.String)>",83
"<android.content.ContentProviderClient: android.database.Cursor query(android.net.Uri,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String)>",4
"<android.content.ContentProviderClient: android.net.Uri insert(android.net.Uri,android.content.ContentValues)>",6
"<android.hardware.display.DisplayManager: android.view.Display[] getDisplays()>",83
"<android.net.wifi.WifiInfo: java.lang.String getSSID()>",111
"<android.hardware.display.DisplayManager: android.view.Display getDisplay(int)>",83
"<android.hardware.Camera$Parameters: int getPreviewFormat()>",27
"<android.bluetooth.BluetoothAdapter: android.bluetooth.BluetoothAdapter getDefaultAdapter()>",60
"<java.lang.reflect.Method: java.lang.Class getReturnType()>",78
"<android.bluetooth.BluetoothAdapter: java.lang.String getAddress()>",62
"<android.app.ActivityManager: java.util.List getRunningTasks(int)>",202
"<java.lang.reflect.Method: java.lang.Class getDeclaringClass()>",73
"<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>",159
"<java.lang.reflect.Array: java.lang.Object newInstance(java.lang.Class,int)>",114
"<android.content.ContentResolver: java.io.InputStream openInputStream(android.net.Uri)>",96
"<java.lang.reflect.Field: float getFloat(java.lang.Object)>",38
"<java.lang.reflect.Field: boolean getBoolean(java.lang.Object)>",55
"<java.lang.reflect.Field: double getDouble(java.lang.Object)>",40
"<android.location.LocationManager: boolean isProviderEnabled(java.lang.String)>",111
"<java.lang.reflect.Field: short getShort(java.lang.Object)>",37
"<android.net.NetworkInfo: java.lang.String toString()>",48
