tool,apk,methods_in_diff
droidbot,appNewds-1055,0
droidbot,app-5050,15
droidbot,app-4610,15
droidbot,app-4115,0
droidbot,app-475,0
droidbot,app-1616,0
droidbot,app-3223,0
droidbot,appNewds-2,0
droidbot,app-4835,4
droidbot,app-1784,0
droidbot,app-1227f,0
droidbot,app-1000f,0
droidbot,app-2011f,0
droidbot,app-1297f,1
droidbot,app-1263,2
droidbot,application-225,0
droidbot,app-3719,0
droidbot,app-2149,0
droidbot,app-424,0
droidbot,app-989,0
droidbot,app-589f,0
droidbot,app-486f,0
droidbot,app-1886f,0
droidbot,app-3128,0
droidbot,app-3125,0
droidbot,app-1537f,0
droidbot,appNewds-6116,4
droidbot,app-953f,0
droidbot,app-5564,0
droidbot,app-2066f,20
droidbot,app-648f,0
droidbot,app-446,0
droidbot,app-2098f,0
droidbot,app-295f,0
droidbot,app-1206,0
droidbot,app-5487,0
droidbot,app-1633f,0
droidbot,app-3594,0
droidbot,app-1335,0
droidbot,app-4158,0
droidbot,appNewds-5411,1
droidbot,app-1054,0
droidbot,app-711f,0
droidbot,app-2084f,2
droidbot,app-5183,1
droidbot,app-1791,0
droidbot,app-3761,0
droidbot,appNewds-2565,4
droidbot,app-1119f,0
droidbot,app-5267,15
droidbot,app-3164,0
droidbot,app-3485,5
droidbot,app-5351,0
droidbot,app-3864,0
droidbot,appNewds-1569,21
droidbot,app-1255,0
droidbot,app-3587,0
droidbot,app-3008,0
droidbot,app-1181,0
droidbot,app-1957f,17
droidbot,app-3017,0
droidbot,app-3079,0
droidbot,app-1742f,1
droidbot,appNewds-5669,0
droidbot,app-1321,0
droidbot,app-294f,0
droidbot,app-5470,0
droidbot,app-1972f,5
droidbot,appNewds-5044,0
droidbot,app-1641,0
droidbot,application-71,0
droidbot,app-4411,6
droidbot,appNewds-3231,23
droidbot,app-786,0
droidbot,app-3409,0
droidbot,application-850,0
droidbot,app-3135,0
droidbot,app-1437f,0
droidbot,app-1375,0
droidbot,appNewds-521,3
droidbot,app-54,0
droidbot,app-1798,0
droidbot,app-351,1
droidbot,appNewds-245,13
droidbot,app-3518,0
droidbot,app-1213,8
droidbot,app-2353f,0
droidbot,app-3536,3
droidbot,app-3101,0
droidbot,app-1864f,0
droidbot,app-212,0
droidbot,app-3851,0
droidbot,app-2349f,0
droidbot,app-3626,0
droidbot,app-2045f,1
droidbot,app-3783,0
droidbot,app-3769,0
droidbot,app-4471,0
droidbot,application-658,0
droidbot,app-2151,1
droidbot,app-607,15
droidbot,app-4064,0
droidbot,app-4680,0
droidbot,appNewds-8700,19
droidbot,app-4094,0
droidbot,app-2132f,0
droidbot,app-842f,0
droidbot,app-814f,0
droidbot,app-4749,1
droidbot,app-5681,0
droidbot,app-3526,0
droidbot,app-2022f,13
droidbot,app-193f,0
droidbot,app-1203f,3
droidbot,appNewds-5595,0
droidbot,app-3470,2
droidbot,app-3251,5
droidbot,app-4045,0
droidbot,app-771,0
droidbot,app-5431,9
droidbot,app-3870,0
droidbot,appNewds-3529,21
droidbot,app-5372,0
droidbot,app-1671f,0
droidbot,app-1229,0
droidbot,app-1048f,0
droidbot,app-4506,3
droidbot,appNewds-1592,0
droidbot,app-2332f,2
droidbot,app-1147,0
droidbot,app-117,0
droidbot,app-3795,0
droidbot,app-5098,0
droidbot,app-3904,7
droidbot,app-3169,0
droidbot,app-3825,1
droidbot,app-3580,0
droidbot,app-2217f,0
droidbot,app-265,0
droidbot,app-2091f,0
droidbot,app-3853,0
droidbot,app-886,0
droidbot,app-3158,0
droidbot,app-4210,0
droidbot,appNewds-527,18
droidbot,app-2379,0
droidbot,app-369f,0
droidbot,app-3143,0
droidbot,app-3916,0
droidbot,appNewds-5739,0
droidbot,app-2281,0
droidbot,app-524,0
droidbot,app-1128,0
droidbot,app-2089,0
droidbot,app-3026,0
droidbot,appNewds-8058,35
droidbot,app-3752,0
droidbot,appNewds-4817,16
droidbot,app-550,0
droidbot,appNewds-6162,4
droidbot,appNewds-8039,0
droidbot,app-677f,8
droidbot,app-1707,0
droidbot,app-2115,4
droidbot,appNewds-5403,15
droidbot,appNewds-6982,18
droidbot,app-4110,0
droidbot,app-656,0
droidbot,app-1650,5
droidbot,appNewds-6360,5
droidbot,appNewds-6199,16
droidbot,app-2102,0
droidbot,app-2202f,0
droidbot,app-489,0
droidbot,app-1758f,32
droidbot,app-991,1
droidbot,app-3597,0
droidbot,app-1583f,0
droidbot,app-713,0
droidbot,app-3811,0
droidbot,app-1282f,0
droidbot,app-2165f,3
droidbot,app-839,0
droidbot,app-1917f,5
droidbot,app-3725,0
droidbot,app-2167,15
droidbot,app-2136,4
droidbot,application-70,0
droidbot,app-1012,0
droidbot,app-354f,2
droidbot,app-1218,0
droidbot,appNewds-3196,28
droidbot,app-1654f,0
droidbot,app-1250,0
droidbot,appNewds-5040,5
droidbot,app-5031,9
droidbot,app-828f,0
droidbot,app-97,0
droidbot,app-345,0
droidbot,app-1135f,0
droidbot,app-1696,0
droidbot,application-750,4
droidbot,app-626f,0
droidbot,app-3456,1
droidbot,app-4770,0
droidbot,app-1475,0
droidbot,app-1006f,0
droidbot,app-3516,2
droidbot,app-1612,0
droidbot,app-481f,0
droidbot,application-752,4
droidbot,app-2229f,22
droidbot,app-871f,0
droidbot,app-2213f,0
droidbot,app-3410,0
droidbot,app-2233f,0
droidbot,appNewds-204,10
droidbot,app-336f,4
droidbot,app-5012,15
droidbot,app-1338,0
droidbot,appNewds-5534,3
droidbot,app-1407,0
droidbot,app-637f,0
droidbot,app-241,0
droidbot,app-833,0
droidbot,app-2270f,4
droidbot,app-340,0
droidbot,app-3993,0
droidbot,appNewds-3655,25
droidbot,app-813f,0
droidbot,app-152,0
droidbot,app-2283,0
droidbot,app-3678,0
droidbot,app-1734f,0
droidbot,app-1304f,0
droidbot,app-3577,0
droidbot,app-3120,0
droidbot,app-3156,0
