tool,apk,methods_in_diff
droidbot,app-834f,9
droidbot,app-3606,0
droidbot,appNewds-2272,8
droidbot,appNewds-1597,0
droidbot,app-1211,1
droidbot,appNewds-1234,9
droidbot,appNewds-3336,14
droidbot,app-324,0
droidbot,application-973,1
droidbot,appNewds-4152,5
droidbot,app-837,0
droidbot,app-1496f,6
droidbot,appNewds-2576,13
droidbot,app-2258,0
droidbot,app-4647,8
droidbot,app-2093,1
droidbot,app-5067,16
droidbot,appNewds-7852,14
droidbot,app-2319f,0
droidbot,appNewds-3088,2
droidbot,app-2071f,10
droidbot,app-478,0
droidbot,app-422,0
droidbot,app-1952f,0
droidbot,app-1789,0
droidbot,app-4171,0
droidbot,app-4908,0
droidbot,app-4355,15
droidbot,app-2044f,0
droidbot,app-659f,0
droidbot,appNewds-1387,16
droidbot,app-1177,1
droidbot,app-1793,0
droidbot,app-1087f,0
droidbot,app-195,0
droidbot,appNewds-8913,0
droidbot,app-3179,0
droidbot,app-5240,0
droidbot,app-2128f,5
droidbot,app-2126f,0
droidbot,app-442f,0
droidbot,app-5102,15
droidbot,app-1044f,0
droidbot,app-477f,1
droidbot,app-4327,24
droidbot,appNewds-952,0
droidbot,app-2179,0
droidbot,appNewds-4951,29
droidbot,appNewds-5478,11
droidbot,app-623,0
droidbot,app-5459,15
droidbot,app-346f,0
droidbot,app-1530,0
droidbot,app-3141,0
droidbot,appNewds-1816,52
droidbot,app-3061,0
droidbot,app-4092,0
droidbot,app-3546,2
droidbot,app-2250f,0
droidbot,app-4608,0
droidbot,appNewds-290,9
droidbot,app-2124f,0
droidbot,app-1361,0
droidbot,app-2116f,2
droidbot,app-3919,0
droidbot,app-5293,0
droidbot,app-3407,4
droidbot,app-1979f,1
droidbot,app-493,0
droidbot,app-1743,0
droidbot,app-1392,3
droidbot,appNewds-1467,16
droidbot,app-1859,0
droidbot,app-3551,2
droidbot,app-2306f,0
droidbot,app-2324,4
droidbot,app-280f,0
droidbot,app-957f,0
droidbot,app-245f,0
droidbot,app-4905,2
droidbot,app-1814f,0
droidbot,app-2342f,2
droidbot,app-3122,0
droidbot,app-1031f,0
droidbot,app-3641,0
droidbot,app-3968,0
droidbot,app-4473,4
droidbot,app-275f,0
droidbot,application-93,0
droidbot,appNewds-2372,20
droidbot,app-5554,0
droidbot,app-4985,0
droidbot,app-3419,3
droidbot,app-1604f,0
droidbot,app-5557,15
droidbot,app-629f,2
droidbot,application-829,0
droidbot,app-1055,0
droidbot,app-3829,0
droidbot,app-804f,33
droidbot,app-1811f,0
droidbot,app-985,0
droidbot,app-107,0
droidbot,app-4850,9
droidbot,app-3155,0
droidbot,app-4177,0
droidbot,app-597f,1
droidbot,appNewds-1716,0
droidbot,app-3656,0
droidbot,appNewds-3197,8
droidbot,app-1518f,0
droidbot,appNewds-3625,2
droidbot,app-551,14
droidbot,app-844f,0
droidbot,app-229,0
droidbot,app-1308f,0
droidbot,application-182,0
droidbot,app-3058,0
droidbot,appNewds-5087,0
droidbot,app-5027,10
droidbot,app-1668,0
droidbot,appNewds-7947,10
droidbot,appNewds-5533,2
droidbot,app-223,0
droidbot,app-1605f,0
droidbot,app-3016,0
droidbot,app-868,0
droidbot,application-986,0
droidbot,app-4776,15
droidbot,app-4361,0
droidbot,app-1396f,0
droidbot,app-576f,7
droidbot,app-3627,0
droidbot,app-1472f,0
droidbot,app-3925,0
droidbot,appNewds-3008,0
droidbot,app-1819f,0
droidbot,app-773f,0
droidbot,app-4209,0
droidbot,app-4306,18
droidbot,app-391,0
droidbot,app-1851,0
droidbot,application-909,0
droidbot,appNewds-7272,6
droidbot,app-3414,0
droidbot,app-3837,0
droidbot,app-4920,0
droidbot,app-4179,0
droidbot,app-216,0
droidbot,application-222,0
droidbot,app-5144,1
droidbot,appNewds-3885,11
droidbot,app-4967,8
droidbot,app-235,1
droidbot,app-3166,0
droidbot,app-3835,0
droidbot,app-5762,0
droidbot,app-1813f,2
droidbot,app-2365,0
droidbot,app-5418,1
droidbot,appNewds-3596,6
droidbot,app-4936,15
droidbot,app-3088,0
droidbot,app-967f,12
droidbot,app-695,3
droidbot,app-1082f,0
droidbot,app-5603,15
droidbot,app-3246,1
droidbot,app-3693,0
droidbot,app-4348,37
droidbot,app-1157,0
droidbot,app-810,0
droidbot,app-3553,0
droidbot,app-3226,0
droidbot,app-5028,0
droidbot,appNewds-4115,9
droidbot,app-2160,1
droidbot,app-3956,0
droidbot,app-3774,1
droidbot,app-430,27
droidbot,app-1374,0
droidbot,app-3154,0
droidbot,app-300,0
droidbot,app-2089f,0
droidbot,app-466f,1
droidbot,app-926,0
droidbot,app-71,0
droidbot,app-992f,0
droidbot,app-3504,0
droidbot,app-2073f,0
droidbot,app-1315f,0
droidbot,application-914,0
droidbot,app-5194,0
droidbot,app-298,0
droidbot,app-3995,0
droidbot,appNewds-1293,0
droidbot,app-3004,0
droidbot,app-1681,2
droidbot,appNewds-2044,7
droidbot,app-3571,0
droidbot,appNewds-1702,23
droidbot,app-3784,0
droidbot,appNewds-815,1
droidbot,appNewds-1396,6
droidbot,app-762,0
droidbot,app-462f,4
droidbot,app-509f,18
droidbot,app-4073,0
droidbot,app-3295,0
droidbot,appNewds-2397,8
droidbot,app-3457,0
droidbot,app-1105f,0
droidbot,app-673,0
droidbot,app-363f,0
droidbot,app-2215f,0
droidbot,application-1033,0
droidbot,app-1116f,0
droidbot,appNewds-3108,0
droidbot,appNewds-8516,0
droidbot,app-3009,0
droidbot,application-945,0
droidbot,appNewds-7827,25
droidbot,app-406,0
droidbot,appNewds-124,19
droidbot,app-902,0
droidbot,app-215,0
droidbot,app-3159,0
droidbot,app-3431,0
droidbot,app-1145f,0
droidbot,appNewds-3396,14
droidbot,app-3630,0
droidbot,app-1606,0
droidbot,app-1670,0
droidbot,app-3590,0
droidbot,app-1210,0
droidbot,app-5753,0
droidbot,app-3165,0
droidbot,app-273f,0
droidbot,appNewds-5083,7
droidbot,app-5404,0
droidbot,app-1985f,0
droidbot,app-4170,1
droidbot,app-493f,0
droidbot,app-375f,0
droidbot,app-1060,0
droidbot,app-5690,0
droidbot,app-2137,0
droidbot,app-4203,0
droidbot,app-1195,0
droidbot,app-2282f,0
droidbot,app-3802,0
droidbot,app-2229,0
droidbot,app-779,0
droidbot,app-4050,0
droidbot,appNewds-5862,16
droidbot,app-1701,0
droidbot,app-3845,0
droidbot,app-90,0
droidbot,app-4635,15
droidbot,app-4098,0
droidbot,app-4126,0
droidbot,app-3549,1
droidbot,app-1110,0
droidbot,app-990f,0
droidbot,app-3796,0
droidbot,app-2175f,0
droidbot,app-3817,0
droidbot,app-2173f,7
droidbot,app-3126,0
droidbot,app-3666,0
droidbot,appNewds-807,19
droidbot,app-1271,1
droidbot,app-945,0
droidbot,app-5096,0
droidbot,app-2114f,0
droidbot,app-3189,0
droidbot,appNewds-7492,19
droidbot,app-303,0
droidbot,app-3759,0
droidbot,app-2154f,0
droidbot,app-799,0
droidbot,app-5606,2
droidbot,appNewds-4938,0
droidbot,appNewds-7100,0
droidbot,app-1428,0
droidbot,app-3527,0
droidbot,app-2126,0
droidbot,application-1047,0
droidbot,app-3035,0
droidbot,app-3601,0
droidbot,app-1401,0
droidbot,app-5520,0
droidbot,app-3177,0
droidbot,app-4076,0
droidbot,appNewds-2430,12
droidbot,app-5620,1
droidbot,app-1719,0
droidbot,app-10,0
droidbot,app-384f,0
droidbot,app-3762,0
droidbot,app-2228f,0
droidbot,appNewds-9447,15
droidbot,app-1623,0
droidbot,app-658f,0
droidbot,app-4106,0
droidbot,app-1517f,0
droidbot,app-1112,1
droidbot,appNewds-3331,5
droidbot,app-393,0
droidbot,appNewds-5652,2
droidbot,app-119,0
droidbot,app-713f,0
droidbot,app-380f,5
droidbot,app-3801,0
droidbot,app-3593,0
droidbot,app-3635,0
droidbot,app-3813,0
droidbot,app-3448,0
droidbot,app-2285f,2
droidbot,app-462,0
droidbot,app-1245,2
droidbot,app-2219f,0
droidbot,app-3563,0
droidbot,app-1909f,9
droidbot,app-3108,0
droidbot,app-1594f,0
droidbot,appNewds-4578,13
droidbot,app-3146,0
droidbot,app-3632,0
droidbot,app-1276,12
droidbot,app-921,0
droidbot,app-1232f,0
droidbot,app-791,0
droidbot,app-1445,0
droidbot,application-92,0
droidbot,app-5597,0
droidbot,app-1872f,0
droidbot,app-494,0
droidbot,app-4123,0
droidbot,app-1827f,0
droidbot,app-615,0
droidbot,app-308,0
droidbot,app-1029,0
droidbot,app-2168f,0
droidbot,app-673f,2
droidbot,app-1687,0
droidbot,app-5230,2
droidbot,app-925,2
droidbot,application-892,1
droidbot,app-1683,0
droidbot,app-4129,0
droidbot,app-4138,0
droidbot,app-4198,0
droidbot,app-3214,0
droidbot,app-784,0
droidbot,app-2021f,0
droidbot,app-3003,0
droidbot,appNewds-1305,10
droidbot,app-1062,0
droidbot,app-2352f,1
droidbot,app-3048,0
droidbot,app-1213f,0
droidbot,app-3232,0
droidbot,app-1869,0
droidbot,app-5288,37
droidbot,app-3203,0
droidbot,app-4136,0
droidbot,app-728,1
droidbot,app-3821,0
droidbot,app-1005,0
droidbot,app-2108f,0
droidbot,app-387,0
droidbot,app-4887,0
droidbot,app-5398,0
droidbot,appNewds-3822,23
droidbot,app-5112,0
droidbot,app-3998,11
droidbot,appNewds-8905,0
droidbot,app-4058,0
droidbot,appNewds-4911,7
droidbot,app-4861,0
droidbot,app-4056,3
droidbot,app-3006,0
droidbot,app-2274,0
droidbot,appNewds-2164,2
droidbot,app-1273,0
droidbot,app-3730,1
droidbot,app-3683,0
droidbot,app-3951,0
droidbot,app-2196,0
droidbot,app-3836,0
droidbot,appNewds-8368,7
droidbot,app-1602f,0
droidbot,app-1745,0
droidbot,appNewds-424,5
droidbot,app-2297f,0
droidbot,app-3556,1
droidbot,app-98,0
droidbot,app-908f,0
droidbot,appNewds-1810,19
droidbot,app-848,0
droidbot,app-2376,0
droidbot,app-4561,5
droidbot,appNewds-1883,7
droidbot,appNewds-6197,0
droidbot,app-357,3
droidbot,app-1935f,1
droidbot,app-226,0
droidbot,app-1874,0
droidbot,appNewds-519,15
droidbot,appNewds-8485,4
droidbot,app-3893,0
droidbot,appNewds-1601,21
droidbot,appNewds-3967,0
droidbot,app-4616,4
droidbot,app-1126f,0
droidbot,app-1270f,0
droidbot,app-4128,0
droidbot,app-197f,0
droidbot,app-3962,0
droidbot,app-1021,0
droidbot,app-3530,0
droidbot,app-5479,1
droidbot,appNewds-1449,8
droidbot,app-256,0
droidbot,app-1581,0
droidbot,app-3491,0
droidbot,application-126,0
droidbot,app-3824,0
droidbot,app-2207f,0
droidbot,app-521,0
droidbot,appNewds-6349,0
droidbot,app-4640,0
droidbot,appNewds-9125,3
droidbot,app-3908,0
droidbot,app-593f,0
droidbot,appNewds-3770,1
droidbot,app-2320f,0
droidbot,app-952f,1
droidbot,appNewds-1017,2
droidbot,app-831f,1
droidbot,appNewds-2046,16
droidbot,app-715f,0
droidbot,app-4212,0
droidbot,app-1722,1
droidbot,app-3022,3
droidbot,appNewds-6207,7
droidbot,appNewds-9330,1
droidbot,app-3075,0
droidbot,app-1090,0
droidbot,app-2056f,0
droidbot,app-3524,2
droidbot,app-917,0
droidbot,app-5700,17
droidbot,app-3738,0
droidbot,app-4837,0
droidbot,app-2212,0
droidbot,app-893f,0
droidbot,appNewds-2104,16
droidbot,app-1830,0
droidbot,app-755,0
droidbot,app-3879,0
droidbot,app-2358,0
droidbot,app-4301,26
droidbot,app-356f,0
droidbot,app-1840f,0
droidbot,appNewds-7001,5
droidbot,app-3876,0
droidbot,appNewds-4135,20
droidbot,app-1554f,0
droidbot,app-1176f,0
droidbot,appNewds-1333,0
droidbot,app-2168,12
droidbot,app-1947f,0
droidbot,appNewds-5108,0
droidbot,application-185,1
droidbot,app-1629,0
droidbot,appNewds-1170,8
droidbot,app-1586f,0
droidbot,app-1176,0
droidbot,appNewds-6972,1
droidbot,application-950,0
droidbot,appNewds-8912,0
droidbot,app-475f,0
droidbot,app-2370,0
droidbot,app-3575,0
droidbot,application-1076,0
droidbot,app-757,0
droidbot,appNewds-1916,23
droidbot,app-4707,0
droidbot,appNewds-8020,0
droidbot,app-3669,0
droidbot,appNewds-8371,7
droidbot,appNewds-342,3
droidbot,app-3515,2
droidbot,app-1648,7
droidbot,app-150,6
droidbot,appNewds-6102,34
droidbot,appNewds-6621,40
droidbot,app-3643,0
droidbot,appNewds-189,0
droidbot,appNewds-1279,0
droidbot,application-847,0
droidbot,app-917f,0
droidbot,app-604,0
droidbot,app-3418,4
droidbot,appNewds-1154,17
droidbot,app-4376,9
droidbot,app-1458f,0
droidbot,app-427,0
droidbot,app-2333f,1
droidbot,appNewds-2833,6
droidbot,appNewds-5568,0
droidbot,appNewds-5797,14
droidbot,appNewds-2891,10
droidbot,app-1256f,0
droidbot,app-140,0
droidbot,app-1901f,1
droidbot,app-2069f,0
droidbot,app-2127f,0
droidbot,appNewds-350,50
droidbot,app-1334f,0
droidbot,app-1084f,0
droidbot,appNewds-539,0
droidbot,app-58,0
droidbot,app-3104,0
droidbot,app-474f,0
droidbot,appNewds-5920,19
droidbot,app-3807,0
droidbot,app-4469,0
droidbot,appNewds-3050,19
droidbot,app-2240f,0
droidbot,app-4149,0
droidbot,app-1043,0
droidbot,appNewds-516,16
droidbot,appNewds-2793,13
droidbot,app-4767,0
droidbot,app-827,0
droidbot,app-5533,0
droidbot,app-881,0
droidbot,app-1469f,1
droidbot,app-2395,0
droidbot,app-5030,7
droidbot,app-805,0
droidbot,app-809f,0
droidbot,app-271f,0
droidbot,app-3517,0
droidbot,app-4817,0
droidbot,app-4066,0
droidbot,app-2108,0
droidbot,app-1885,0
droidbot,app-1384,0
droidbot,app-1887f,4
droidbot,app-1358,0
droidbot,app-3015,0
droidbot,appNewds-2075,10
droidbot,app-2241,0
droidbot,app-1479,12
droidbot,app-751,0
droidbot,app-3480,0
droidbot,app-3768,0
droidbot,app-5268,9
droidbot,app-1275f,0
droidbot,app-3445,0
droidbot,app-996,0
droidbot,appNewds-1188,16
droidbot,app-873,1
droidbot,app-2286f,0
droidbot,app-1827,3
droidbot,app-1856f,5
droidbot,app-4791,15
droidbot,app-1280f,0
droidbot,app-783,0
droidbot,app-3655,0
droidbot,app-336,0
droidbot,app-3866,0
droidbot,app-760,4
droidbot,application-85,0
droidbot,app-3183,0
droidbot,app-3621,0
droidbot,app-359f,0
droidbot,appNewds-6113,15
droidbot,appNewds-4118,45
droidbot,app-4665,3
droidbot,app-4108,0
droidbot,app-245,0
droidbot,app-1071,0
droidbot,app-2259,0
droidbot,app-1742,0
droidbot,appNewds-9406,17
droidbot,app-1258,0
droidbot,appNewds-4545,0
droidbot,app-544,0
droidbot,app-1525,0
droidbot,app-3523,0
droidbot,appNewds-3986,23
droidbot,appNewds-455,14
droidbot,app-929f,8
droidbot,app-30,2
droidbot,app-1387,0
droidbot,app-4728,0
droidbot,app-906,0
droidbot,app-3854,0
droidbot,app-2305,7
droidbot,app-2139f,0
droidbot,app-3935,0
droidbot,app-224,0
droidbot,app-1858f,1
droidbot,app-4400,1
droidbot,app-2157,0
droidbot,app-1839f,0
droidbot,app-1266,0
droidbot,appNewds-3595,1
droidbot,app-3121,0
droidbot,app-4111,0
droidbot,app-4856,0
droidbot,app-660,2
droidbot,app-1729f,1
droidbot,app-1926,0
droidbot,app-5299,4
droidbot,app-690,7
droidbot,app-2268,0
droidbot,app-1195f,2
droidbot,appNewds-2196,10
droidbot,app-1383,0
droidbot,app-5113,4
droidbot,app-2257,0
droidbot,appNewds-2985,0
droidbot,app-1550,0
droidbot,app-1439f,0
droidbot,app-195f,0
droidbot,app-4947,0
droidbot,app-1894,4
droidbot,appNewds-7826,25
droidbot,app-5305,0
droidbot,app-1129f,19
droidbot,app-280,0
droidbot,application-1009,0
droidbot,app-920f,0
droidbot,app-4165,0
droidbot,app-614,0
droidbot,app-123,0
droidbot,application-224,0
droidbot,app-1744f,0
droidbot,app-969f,1
droidbot,app-3694,0
droidbot,appNewds-2409,0
droidbot,app-1810f,0
droidbot,app-3659,0
droidbot,app-609,0
droidbot,app-743f,0
droidbot,app-2383,0
droidbot,app-1041f,2
droidbot,app-3592,0
droidbot,app-1956f,0
droidbot,app-4200,0
droidbot,app-2013f,0
droidbot,app-316f,0
droidbot,app-1356,0
droidbot,app-4735,0
droidbot,app-40,0
droidbot,app-823f,0
droidbot,app-4650,26
droidbot,app-1832,0
droidbot,app-2255,1
droidbot,app-3690,0
droidbot,app-4540,5
droidbot,app-4119,0
droidbot,app-3147,0
droidbot,app-5476,0
droidbot,app-69,0
droidbot,app-1488,0
droidbot,app-3249,1
droidbot,app-5129,4
droidbot,app-3644,0
droidbot,appNewds-8525,19
droidbot,app-2134f,0
droidbot,app-1380,6
droidbot,app-2303f,0
droidbot,app-244f,13
droidbot,app-3799,0
droidbot,app-3793,0
droidbot,app-605f,1
droidbot,app-2225,0
droidbot,appNewds-1881,19
droidbot,app-3237,1
droidbot,appNewds-2602,14
droidbot,app-3461,0
droidbot,app-2207,19
droidbot,app-1596,0
droidbot,app-3858,0
droidbot,app-344,0
droidbot,app-3129,0
droidbot,appNewds-4305,9
droidbot,app-2076,0
droidbot,app-2122,0
droidbot,app-1039f,0
droidbot,app-4188,0
droidbot,app-2208f,0
droidbot,app-1727,0
droidbot,app-1806f,1
droidbot,app-5482,0
droidbot,appNewds-2197,0
droidbot,app-3502,0
droidbot,application-18,0
droidbot,app-4732,11
droidbot,app-3554,0
droidbot,app-650,0
droidbot,appNewds-84,6
droidbot,app-5449,3
droidbot,app-128,1
droidbot,app-2222f,0
droidbot,app-870,0
droidbot,app-553f,2
droidbot,app-4157,0
droidbot,app-2038f,0
droidbot,app-2380,0
droidbot,app-5338,0
droidbot,app-2313,0
droidbot,app-3482,1
droidbot,app-3779,0
droidbot,app-1044,0
droidbot,appNewds-2886,3
droidbot,app-1783,0
droidbot,app-313f,3
droidbot,appNewds-755,0
droidbot,app-5581,3
droidbot,app-5196,8
droidbot,app-3591,0
droidbot,app-200,0
droidbot,app-3920,0
droidbot,app-1911,0
droidbot,app-2099f,0
droidbot,app-1940f,0
droidbot,app-2118f,0
droidbot,app-578,6
droidbot,app-2130f,6
droidbot,appNewds-3093,0
droidbot,app-3800,0
droidbot,appNewds-6167,15
droidbot,app-3777,0
droidbot,app-122,0
droidbot,app-4656,0
droidbot,app-1240,2
droidbot,app-2035f,0
droidbot,app-3637,0
droidbot,app-94,0
droidbot,app-676,5
droidbot,app-3063,0
droidbot,app-2189f,0
droidbot,appNewds-7090,13
droidbot,appNewds-3361,1
droidbot,app-2082f,0
droidbot,app-1538f,0
droidbot,appNewds-3545,0
droidbot,appNewds-6088,7
droidbot,app-1504,0
droidbot,appNewds-2691,28
droidbot,app-4998,12
droidbot,app-1753,0
droidbot,appNewds-6048,1
droidbot,app-4911,4
droidbot,appNewds-5583,3
droidbot,app-4757,8
droidbot,app-2233,0
droidbot,app-402,0
droidbot,app-1698,0
droidbot,app-5594,7
droidbot,app-2288,0
droidbot,appNewds-5883,0
droidbot,app-2039f,0
droidbot,app-5065,0
droidbot,app-208,0
droidbot,app-692,1
droidbot,app-1541,0
droidbot,app-5375,0
droidbot,app-3519,0
droidbot,appNewds-1570,17
droidbot,app-3648,0
droidbot,app-1570f,1
droidbot,appNewds-6213,0
droidbot,appNewds-308,11
droidbot,app-2295,0
droidbot,application-209,0
droidbot,app-3889,0
droidbot,app-573f,0
droidbot,app-4748,8
droidbot,appNewds-6115,13
droidbot,appNewds-6647,9
droidbot,app-1240f,0
droidbot,app-1467,0
droidbot,app-564,1
droidbot,app-3873,0
droidbot,app-928f,0
droidbot,app-4772,2
droidbot,app-3525,0
droidbot,app-1280,0
droidbot,app-4673,4
droidbot,app-1103,0
droidbot,app-2090,0
droidbot,app-1810,0
droidbot,app-318,0
droidbot,appNewds-7840,0
droidbot,app-5667,0
droidbot,appNewds-2421,7
droidbot,app-5342,0
droidbot,app-1310,0
droidbot,app-113,2
droidbot,app-2366,0
droidbot,app-4344,0
droidbot,app-3826,0
droidbot,app-2131f,0
droidbot,app-4081,0
droidbot,app-1069f,0
droidbot,app-1714f,0
droidbot,app-5120,0
droidbot,app-4518,0
droidbot,application-902,0
droidbot,app-26,0
droidbot,app-1676,12
droidbot,app-1274f,0
droidbot,app-464,0
droidbot,app-4208,0
droidbot,app-1230f,0
droidbot,app-257,0
droidbot,app-723f,0
droidbot,app-3891,0
droidbot,appNewds-7225,0
droidbot,app-5397,0
droidbot,appNewds-2656,0
droidbot,app-3014,0
droidbot,app-4105,0
droidbot,app-82,0
droidbot,app-865f,0
droidbot,app-3199,0
droidbot,app-3157,0
droidbot,app-2338,0
droidbot,app-5555,1
droidbot,app-3737,0
droidbot,app-4419,0
droidbot,app-3049,0
droidbot,app-560,1
droidbot,app-618f,0
droidbot,app-2373f,2
droidbot,app-3065,0
droidbot,app-3967,0
droidbot,app-5691,1
droidbot,appNewds-9332,1
droidbot,app-4185,0
droidbot,app-3969,0
droidbot,app-3423,1
droidbot,app-3533,0
droidbot,app-1626,0
droidbot,app-3449,6
droidbot,app-1277,0
droidbot,app-5568,0
droidbot,app-2095f,0
droidbot,app-2194,2
droidbot,app-749f,0
droidbot,app-930,0
droidbot,appNewds-803,12
droidbot,app-2218f,0
droidbot,app-1639,0
droidbot,app-5547,1
droidbot,app-5478,0
droidbot,app-2156f,1
droidbot,app-3137,0
droidbot,app-1230,0
droidbot,app-3066,0
droidbot,app-262,0
droidbot,app-3588,0
droidbot,application-1063,0
droidbot,app-3812,0
droidbot,app-2369f,0
droidbot,app-855f,0
droidbot,app-2288f,0
droidbot,app-2005f,0
droidbot,app-1189,0
droidbot,app-4147,0
droidbot,app-480f,0
droidbot,app-3932,0
droidbot,app-951,0
droidbot,app-4653,15
droidbot,app-854,0
